,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
8,s1578,Movie,Emicida: AmarElo - It’s All For Yesterday,,Emicida,Brazil,"December 8, 2020",2020,TV-MA,90 min,Music & Musicals,"Between scenes from his concert in São Paulo's Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture."
9,s1602,Movie,Just Another Christmas,Roberto Santucci,"Leandro Hassum, Elisa Pinheiro, Danielle Winits, Louise Cardoso, Rodrigo Fagundes, Arianne Botelho, Miguel Rômulo, José Rubens Chachá, Levi Ferreira, Daniel Filho",Brazil,"December 3, 2020",2020,TV-MA,101 min,Comedies,"Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life."
10,s1705,Movie,The Beginning of Life 2: Outside,Renata Terra,,Brazil,"November 13, 2020",2020,TV-PG,92 min,Documentaries,"As urbanization expands throughout society, this documentary discusses the value of finding ways for children to forge real connections with nature."
11,s1716,TV Show,A Queen Is Born,Carla Barros,"Gloria Groove, Alexia Twister",Brazil,"November 11, 2020",2020,TV-14,1 Season,Reality TV,Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.
12,s1772,TV Show,Afronta! Facing It!,Juliana Vicente,"Loo Nascimento, Ingrid Silva, Rincon Sapiência, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpção, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká",Brazil,"October 31, 2020",2017,TV-PG,1 Season,Docuseries,"This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community."
13,s1799,Movie,Alice Junior,Gil Baroni,"Anne Celestino Mota, Emmanuel Rosset, Matheus Moura, Surya Amitrano, Thaís Schier, Cida Rolim, Katia Horn, Igor Augustho, Marcel Szymanski",Brazil,"October 23, 2020",2019,TV-MA,87 min,Comedies,"In a small town, a trans teen with a vibrant personality shakes up her high school's conservative ways while trying to secure her first kiss."
13,s1799,Movie,Alice Junior,Gil Baroni,"Anne Celestino Mota, Emmanuel Rosset, Matheus Moura, Surya Amitrano, Thaís Schier, Cida Rolim, Katia Horn, Igor Augustho, Marcel Szymanski",Brazil,"October 23, 2020",2019,TV-MA,87 min,LGBTQ Movies,"In a small town, a trans teen with a vibrant personality shakes up her high school's conservative ways while trying to secure her first kiss."
14,s1911,TV Show,"Good Morning, Verônica",,"Tainá Müller, Eduardo Moscovis, Camila Morgado, Antonio Grassi, Elisa Volpatto, César Mello, Sílvio Guindane, Alice Valverde, DJ Amorim, Adriano Garib, Johnnas Oliva, Marina Provenzzano, José Rubens Chachá, Julia Ianina, Sacha Bali, Aline Borges, Cassio Pandolfi, Pally Siqueira, Juliana Lohmann",Brazil,"October 1, 2020",2020,TV-MA,1 Season,Crime TV Shows,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it."
14,s1911,TV Show,"Good Morning, Verônica",,"Tainá Müller, Eduardo Moscovis, Camila Morgado, Antonio Grassi, Elisa Volpatto, César Mello, Sílvio Guindane, Alice Valverde, DJ Amorim, Adriano Garib, Johnnas Oliva, Marina Provenzzano, José Rubens Chachá, Julia Ianina, Sacha Bali, Aline Borges, Cassio Pandolfi, Pally Siqueira, Juliana Lohmann",Brazil,"October 1, 2020",2020,TV-MA,1 Season,TV Mysteries,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it."
15,s2051,Movie,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Afonso Padilha,Brazil,"September 3, 2020",2020,TV-MA,63 min,Stand-Up Comedy,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.
16,s2128,TV Show,3%,,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,"August 14, 2020",2020,TV-MA,4 Seasons,TV Dramas,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
16,s2128,TV Show,3%,,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil,"August 14, 2020",2020,TV-MA,4 Seasons,TV Sci-Fi & Fantasy,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
17,s2169,TV Show,Mystery Lab,,"Felipe Castanhari, Lilian Regina, Bruno Miranda, Guilherme Briggs",Brazil,"August 4, 2020",2020,TV-PG,1 Season,Docuseries,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies."
17,s2169,TV Show,Mystery Lab,,"Felipe Castanhari, Lilian Regina, Bruno Miranda, Guilherme Briggs",Brazil,"August 4, 2020",2020,TV-PG,1 Season,Science & Nature TV,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies."
18,s2231,TV Show,Kissing Game,,"Caio Horowicz, Iza Moreira, Michel Joelsas, Denise Fraga, Thomás Aquino, Luana Nastas, Esther Tinman, Kevin Vechiatto, Grace Passô, Bianca Byington, Bruno Garcia, Flávio Tolezani, Carolina del Carmen Peleritti",Brazil,"July 17, 2020",2020,TV-MA,1 Season,TV Dramas,"At a high school in a rural, isolated ranching community, families panic when teens contract a mysterious ""kissing disease"" that quickly spreads."
18,s2231,TV Show,Kissing Game,,"Caio Horowicz, Iza Moreira, Michel Joelsas, Denise Fraga, Thomás Aquino, Luana Nastas, Esther Tinman, Kevin Vechiatto, Grace Passô, Bianca Byington, Bruno Garcia, Flávio Tolezani, Carolina del Carmen Peleritti",Brazil,"July 17, 2020",2020,TV-MA,1 Season,TV Mysteries,"At a high school in a rural, isolated ranching community, families panic when teens contract a mysterious ""kissing disease"" that quickly spreads."
19,s2246,TV Show,Dating Around: Brazil,Cassia Dian,,Brazil,"July 10, 2020",2020,TV-14,1 Season,Reality TV,"In this reality show, six singles meet five different blind dates at trendy urban hot spots in Brazil. Who will they choose for a second outing?"
19,s2246,TV Show,Dating Around: Brazil,Cassia Dian,,Brazil,"July 10, 2020",2020,TV-14,1 Season,Romantic TV Shows,"In this reality show, six singles meet five different blind dates at trendy urban hot spots in Brazil. Who will they choose for a second outing?"
20,s2303,Movie,Thiago Ventura: POKAS,"Fabio Ock, Joana Mazzucchelli",Thiago Ventura,Brazil,"July 2, 2020",2020,TV-MA,82 min,Stand-Up Comedy,"In a rollicking special, Thiago Ventura jokes about life in the hood, social issues and more, explaining how actions speak louder than words."
21,s2360,TV Show,Most Beautiful Thing,,"Maria Casadevall, Pathy Dejesus, Fernanda Vasconcellos, Mel Lisboa, Leandro Lima, Ícaro Silva, Gustavo Vaz, Alexandre Cioletti, Gustavo Machado",Brazil,"June 19, 2020",2020,TV-MA,2 Seasons,Romantic TV Shows,"A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club."
21,s2360,TV Show,Most Beautiful Thing,,"Maria Casadevall, Pathy Dejesus, Fernanda Vasconcellos, Mel Lisboa, Leandro Lima, Ícaro Silva, Gustavo Vaz, Alexandre Cioletti, Gustavo Machado",Brazil,"June 19, 2020",2020,TV-MA,2 Seasons,TV Dramas,"A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club."
22,s2410,TV Show,Reality Z,,"Ana Hartmann, Sabrina Sato, Luellem de Castro, Guilherme Weber, Emílio de Mello, Ravel Andrade, João Pedro Zappa, Julia Ianina, Pierre Baitelli, Jesus Luz, Carla Ribas, Wallie Ruy, Gabriel Canella, Natália Rosa, Priscila Assum, Teca Pereira, Leandro Daniel, Hanna Romanazzi, Arlinda Di Baio, Erom Cordeiro, Enzo Romani",Brazil,"June 10, 2020",2020,TV-MA,1 Season,TV Horror,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes."
22,s2410,TV Show,Reality Z,,"Ana Hartmann, Sabrina Sato, Luellem de Castro, Guilherme Weber, Emílio de Mello, Ravel Andrade, João Pedro Zappa, Julia Ianina, Pierre Baitelli, Jesus Luz, Carla Ribas, Wallie Ruy, Gabriel Canella, Natália Rosa, Priscila Assum, Teca Pereira, Leandro Daniel, Hanna Romanazzi, Arlinda Di Baio, Erom Cordeiro, Enzo Romani",Brazil,"June 10, 2020",2020,TV-MA,1 Season,TV Mysteries,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes."
23,s2564,Movie,Luccas Neto em: Acampamento de Férias 2,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Jéssica Diehl, Vivian Duarte",Brazil,"May 4, 2020",2020,TV-G,81 min,Children & Family Movies,"Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach."
23,s2564,Movie,Luccas Neto em: Acampamento de Férias 2,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Jéssica Diehl, Vivian Duarte",Brazil,"May 4, 2020",2020,TV-G,81 min,Comedies,"Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach."
23,s2564,Movie,Luccas Neto em: Acampamento de Férias 2,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Jéssica Diehl, Vivian Duarte",Brazil,"May 4, 2020",2020,TV-G,81 min,Music & Musicals,"Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach."
24,s2602,Movie,Rich in Love,Bruno Garotti,"Danilo Mesquita, Giovanna Lancellotti, Jaffar Bambirra, Lellê, Ernani Moraes, Gillray Coutinho, Jeniffer Dias, Bruna Griphao, Fernanda Paes Leme",Brazil,"April 30, 2020",2020,TV-14,105 min,Comedies,"Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control."
24,s2602,Movie,Rich in Love,Bruno Garotti,"Danilo Mesquita, Giovanna Lancellotti, Jaffar Bambirra, Lellê, Ernani Moraes, Gillray Coutinho, Jeniffer Dias, Bruna Griphao, Fernanda Paes Leme",Brazil,"April 30, 2020",2020,TV-14,105 min,Romantic Movies,"Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control."
25,s2680,Movie,Maurício Meirelles: Generating Chaos,Diego Pignataro,Maurício Meirelles,Brazil,"April 16, 2020",2020,TV-MA,63 min,Stand-Up Comedy,"Comedian Maurício Meirelles explores his chaotic mind with scathingly funny views on family, prejudices, turtles and more in this stand-up special."
26,s2849,Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Cleber Salgado, Bruno Bebianno, Lucas Margutti, Vivian Duarte",Brazil,"March 3, 2020",2019,TV-Y,71 min,Children & Family Movies,"To save Christmas, Luccas and Gi head to the North Pole and are recruited by Santa Claus to find all the gifts that have mysteriously disappeared."
26,s2849,Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Cleber Salgado, Bruno Bebianno, Lucas Margutti, Vivian Duarte",Brazil,"March 3, 2020",2019,TV-Y,71 min,Comedies,"To save Christmas, Luccas and Gi head to the North Pole and are recruited by Santa Claus to find all the gifts that have mysteriously disappeared."
26,s2849,Movie,Luccas Neto in: The End of Christmas,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Cleber Salgado, Bruno Bebianno, Lucas Margutti, Vivian Duarte",Brazil,"March 3, 2020",2019,TV-Y,71 min,Music & Musicals,"To save Christmas, Luccas and Gi head to the North Pole and are recruited by Santa Claus to find all the gifts that have mysteriously disappeared."
27,s2901,TV Show,Spectros,,"Danilo Mesquita, Cláudia Okuno, Mariana Sena, Enzo Barone, Drop Dashi, Miwa Yanagizawa, Carlos Takeshi, Daniel Rocha, Kelzy Ecard, Norival Rizzo, Nicolas Trevijano, Jui Huang, Jimmy Wong, Fania Espinosa, Wallie Ruy, Begê Muniz, Antonio Miano, Ricardo Iazzetta, Mayhara Ribeiro, Jairo Mattos",Brazil,"February 20, 2020",2020,TV-MA,1 Season,TV Horror,A group of teens get caught up in a supernatural clash as vengeful spirits from centuries past rise up in the Liberdade district of São Paulo.
27,s2901,TV Show,Spectros,,"Danilo Mesquita, Cláudia Okuno, Mariana Sena, Enzo Barone, Drop Dashi, Miwa Yanagizawa, Carlos Takeshi, Daniel Rocha, Kelzy Ecard, Norival Rizzo, Nicolas Trevijano, Jui Huang, Jimmy Wong, Fania Espinosa, Wallie Ruy, Begê Muniz, Antonio Miano, Ricardo Iazzetta, Mayhara Ribeiro, Jairo Mattos",Brazil,"February 20, 2020",2020,TV-MA,1 Season,TV Mysteries,A group of teens get caught up in a supernatural clash as vengeful spirits from centuries past rise up in the Liberdade district of São Paulo.
28,s2985,TV Show,Omniscient,,"Carla Salle, Sandra Corveloni, Jonathan Haagensen, Guilherme Prates, Luana Tanaka, Marcello Airoldi, Marco Antônio Pâmio",Brazil,"January 29, 2020",2020,TV-MA,1 Season,TV Dramas,"In a city where citizens are monitored 24/7, a tech employee must outsmart her surveillance drone in order to investigate a murder."
28,s2985,TV Show,Omniscient,,"Carla Salle, Sandra Corveloni, Jonathan Haagensen, Guilherme Prates, Luana Tanaka, Marcello Airoldi, Marco Antônio Pâmio",Brazil,"January 29, 2020",2020,TV-MA,1 Season,TV Sci-Fi & Fantasy,"In a city where citizens are monitored 24/7, a tech employee must outsmart her surveillance drone in order to investigate a murder."
29,s3165,Movie,Nothing to Lose 2,Alexandre Avancini,"Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh, Eduardo Galvão, César Mello, Leonardo Franco, Raphael Viana, Otávio Martins",Brazil,"December 7, 2019",2019,PG-13,97 min,Dramas,"As controversy surrounds the evangelical church he helped found, Edir Macedo must juggle betrayals, politics and personal loss in this biopic sequel."
29,s3165,Movie,Nothing to Lose 2,Alexandre Avancini,"Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh, Eduardo Galvão, César Mello, Leonardo Franco, Raphael Viana, Otávio Martins",Brazil,"December 7, 2019",2019,PG-13,97 min,Faith & Spirituality,"As controversy surrounds the evangelical church he helped found, Edir Macedo must juggle betrayals, politics and personal loss in this biopic sequel."
30,s3175,TV Show,The Chosen One,Michel Tikhomiroff,"Paloma Bernardi, Renan Tenca, Gutto Szuster, Pedro Caetano, Mariano Mattos Martins, Alli Willow, Kiko Vianello, Francisco Gaspar, Tuna Dwek, Lourinelson Vladmir, Leonardo Ventura, Aury Porto, Glauber Amaral, Astrea Lucena",Brazil,"December 6, 2019",2019,TV-MA,2 Seasons,TV Dramas,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult."
30,s3175,TV Show,The Chosen One,Michel Tikhomiroff,"Paloma Bernardi, Renan Tenca, Gutto Szuster, Pedro Caetano, Mariano Mattos Martins, Alli Willow, Kiko Vianello, Francisco Gaspar, Tuna Dwek, Lourinelson Vladmir, Leonardo Ventura, Aury Porto, Glauber Amaral, Astrea Lucena",Brazil,"December 6, 2019",2019,TV-MA,2 Seasons,TV Mysteries,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult."
31,s3221,TV Show,Lugar de Mulher,,,Brazil,"November 28, 2019",2019,TV-MA,1 Season,Stand-Up Comedy & Talk Shows,"Four comedians from Brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be."
31,s3221,TV Show,Lugar de Mulher,,,Brazil,"November 28, 2019",2019,TV-MA,1 Season,TV Comedies,"Four comedians from Brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be."
32,s3244,TV Show,Nobody's Looking,,"Victor Lamoglia, Júlia Rabello, Kéfera Buchmann, Augusto Madeira, Danilo de Moura, Leandro Ramos, Telma Souza, Priscila Sol, Wallie Ruy, Maurício de Barros, Hermínio Ribeiro",Brazil,"November 22, 2019",2019,TV-MA,1 Season,TV Comedies,"A new guardian ""angelus"" uncovers a secret behind the Angelus System's bureaucracy that leads him to break its official rules about protecting humans."
32,s3244,TV Show,Nobody's Looking,,"Victor Lamoglia, Júlia Rabello, Kéfera Buchmann, Augusto Madeira, Danilo de Moura, Leandro Ramos, Telma Souza, Priscila Sol, Wallie Ruy, Maurício de Barros, Hermínio Ribeiro",Brazil,"November 22, 2019",2019,TV-MA,1 Season,TV Dramas,"A new guardian ""angelus"" uncovers a secret behind the Angelus System's bureaucracy that leads him to break its official rules about protecting humans."
33,s3304,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,"Luccas Neto, Gi Alparone, Jéssica Diehl, Roni Fischer, Karol Alves, João Pessanha",Brazil,"November 5, 2019",2019,TV-G,87 min,Children & Family Movies,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.
33,s3304,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,"Luccas Neto, Gi Alparone, Jéssica Diehl, Roni Fischer, Karol Alves, João Pessanha",Brazil,"November 5, 2019",2019,TV-G,87 min,Comedies,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.
33,s3304,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,"Luccas Neto, Gi Alparone, Jéssica Diehl, Roni Fischer, Karol Alves, João Pessanha",Brazil,"November 5, 2019",2019,TV-G,87 min,Music & Musicals,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.
34,s3371,TV Show,Brotherhood,,"Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Wesley Guimarães, Pedro Wagner",Brazil,"October 25, 2019",2019,TV-MA,1 Season,Crime TV Shows,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction."
34,s3371,TV Show,Brotherhood,,"Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Wesley Guimarães, Pedro Wagner",Brazil,"October 25, 2019",2019,TV-MA,1 Season,TV Dramas,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction."
35,s3557,Movie,Kardec,Wagner de Assis,"Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,"August 29, 2019",2019,TV-14,110 min,Dramas,"In Catholic 19th-century France, professor Léon Rivail attends a séance and is moved to found spiritism, putting him in the authorities' sights."
35,s3557,Movie,Kardec,Wagner de Assis,"Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,"August 29, 2019",2019,TV-14,110 min,Faith & Spirituality,"In Catholic 19th-century France, professor Léon Rivail attends a séance and is moved to found spiritism, putting him in the authorities' sights."
36,s3592,Movie,Whindersson Nunes: Adult,Diego Pignataro,Whindersson Nunes,Brazil,"August 15, 2019",2019,TV-MA,69 min,Stand-Up Comedy,Brazilian YouTube sensation Whindersson Nunes revisits his humble beginnings and much more in a series of playful stories and peculiar songs.
37,s3605,TV Show,Sintonia,,"Christian Malheiros, Jottapê, Bruna Mascarenhas",Brazil,"August 9, 2019",2019,TV-MA,1 Season,Crime TV Shows,"Three teens living in the same São Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion."
37,s3605,TV Show,Sintonia,,"Christian Malheiros, Jottapê, Bruna Mascarenhas",Brazil,"August 9, 2019",2019,TV-MA,1 Season,TV Dramas,"Three teens living in the same São Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion."
38,s3733,Movie,The Edge of Democracy,Petra Costa,,Brazil,"June 19, 2019",2019,TV-14,122 min,Documentaries,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.
39,s3748,Movie,DJ Cinderella,Bruno Garotti,"Maísa Silva, Filipe Bragança, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Sérgio Malheiros, Giovanna Grigio, Bárbara Maia, Letícia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",Brazil,"June 14, 2019",2019,TV-PG,95 min,Children & Family Movies,"Fiercely independent and disillusioned with love, a teen DJ is determined to chart her own path, till a pop heartthrob falls for her awesome mix."
39,s3748,Movie,DJ Cinderella,Bruno Garotti,"Maísa Silva, Filipe Bragança, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Sérgio Malheiros, Giovanna Grigio, Bárbara Maia, Letícia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",Brazil,"June 14, 2019",2019,TV-PG,95 min,Comedies,"Fiercely independent and disillusioned with love, a teen DJ is determined to chart her own path, till a pop heartthrob falls for her awesome mix."
40,s3839,TV Show,The Mechanism,,"Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro",Brazil,"May 10, 2019",2019,TV-MA,2 Seasons,Crime TV Shows,A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.
40,s3839,TV Show,The Mechanism,,"Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro",Brazil,"May 10, 2019",2019,TV-MA,2 Seasons,TV Dramas,A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.
